Brand,Battery_capacity(mAh),Screen_size(inches),Touchscreen,Processor,RAM(GB),Internal_storage(GB),Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
tecno,3750,6,Yes,8,4,64,android,Yes,Yes,Yes,2,Yes,Yes,7420,720,1440,16,20
huawei,3340,6,Yes,8,4,128,android,Yes,Yes,Yes,2,Yes,Yes,21999,1080,2340,16,24
zen,2700,6,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,3899,720,1280,8,5
intex,4000,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,No,5990,720,1280,5,2
lava,2500,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,3990,720,1280,5,2
kult,2350,5,Yes,4,3,16,android,Yes,Yes,Yes,2,Yes,Yes,4499,720,1280,13,5
vivo,4000,7,Yes,8,6,64,android,Yes,Yes,Yes,2,Yes,Yes,14990,1080,2340,12,32
coolpad,2500,5,Yes,4,3,16,android,Yes,Yes,Yes,2,Yes,Yes,4290,720,1280,13,8
gionee,3150,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,12000,1080,1920,13,8
gionee,2300,5,Yes,8,2,16,android,Yes,Yes,Yes,1,Yes,No,10999,1080,1920,13,5
motorola,3760,5,Yes,8,3,32,android,Yes,Yes,Yes,1,Yes,Yes,6994,1440,2560,21,5
micromax,2000,5,Yes,4,1,16,android,Yes,Yes,Yes,2,Yes,No,5199,720,1280,13,5
micromax,2820,6,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,4499,720,1280,13,5
blackberry,2100,3,Yes,1,2,16,blackberry,Yes,Yes,Yes,1,Yes,Yes,9899,720,720,8,2
motorola,4000,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,6190,720,1280,8,2
intex,1400,4,Yes,4,0,4,android,Yes,Yes,Yes,2,Yes,No,2799,480,800,2,2
ziox,3000,5,Yes,4,1,16,android,Yes,Yes,Yes,2,Yes,Yes,3499,720,1280,5,5
intex,2000,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,4099,480,854,5,2
panasonic,3000,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,13990,720,1280,13,5
honor,3000,5,Yes,8,4,64,android,Yes,Yes,No,2,Yes,Yes,14933,1080,1920,12,8
lenovo,3500,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,7990,1080,1920,13,8
samsung,2400,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,12499,720,1280,13,5
samsung,5000,7,Yes,8,12,128,android,Yes,Yes,Yes,2,Yes,Yes,92999,1440,3200,108,40
panasonic,2300,5,Yes,4,1,16,android,Yes,Yes,Yes,2,No,No,3675,720,1280,8,5
zopo,2680,5,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,7399,1080,1920,13,13
intex,1900,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,4866,480,854,5,2
intex,2500,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,6199,720,1280,8,5
vivo,1900,5,Yes,4,0,4,android,Yes,Yes,Yes,2,Yes,No,6539,480,854,5,2
micromax,4000,6,Yes,8,3,32,android,Yes,Yes,No,1,Yes,Yes,4960,1080,1920,13,5
vivo,3260,6,Yes,8,4,32,android,Yes,Yes,Yes,2,Yes,Yes,8990,1080,2280,16,16
gionee,4010,6,Yes,8,4,64,android,Yes,Yes,Yes,2,Yes,Yes,9999,1080,1920,13,16
lyf,2000,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,2545,480,854,8,5
asus,3000,6,Yes,8,4,64,android,Yes,Yes,Yes,2,Yes,Yes,25999,1080,1920,16,12
karbonn,2300,5,Yes,4,0,8,android,Yes,Yes,Yes,2,Yes,No,4690,480,854,3,1
nokia,3500,6,Yes,8,4,64,android,Yes,Yes,No,2,Yes,Yes,15377,1080,2340,48,20
