Brand,Battery_capacity(mAh),Screen_size(inches),Processor,RAM(GB),Internal_storage(GB),Operating system,Number of SIMs,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
xiaomi,3000,5,4,1,8,android,2,4499,720.0,1280.0,8,5
meizu,3010,6,8,8,128,android,2,19990,1080.0,2160.0,12,20
asus,4000,6,8,3,32,android,2,7499,720.0,1520.0,13,8
infinix,4000,6,8,4,64,android,1,15999,1080.0,2160.0,16,16
infinix,4000,6,8,3,32,android,2,10999,720.0,1500.0,13,16
asus,3000,5,8,2,16,android,2,4999,720.0,1440.0,13,5
asus,4000,5,8,3,32,android,2,5999,720.0,1440.0,13,8
lenovo,3000,6,8,3,32,android,1,5899,720.0,1440.0,13,13
nokia,3500,6,8,3,32,android,2,6850,720.0,1440.0,13,8
honor,4000,6,8,4,32,android,2,7999,720.0,1520.0,13,8
panasonic,3000,6,8,6,128,android,2,29999,1080.0,2246.0,16,16
realme,4230,6,8,2,16,android,1,7990,720.0,1520.0,13,5
blackberry,3000,5,8,4,64,android,2,22990,1080.0,1620.0,13,8
realme,4230,6,8,3,32,android,2,8890,720.0,1520.0,13,8
infinix,4500,6,8,3,32,android,2,5850,1080.0,2160.0,12,16
oppo,3500,6,8,6,64,android,2,17990,1080.0,2340.0,16,25
oppo,3500,6,8,4,64,android,2,11994,1080.0,2340.0,16,16
honor,3000,6,8,3,32,android,2,7499,1080.0,2280.0,13,16
huawei,3340,6,8,4,128,android,2,21999,1080.0,2340.0,16,24
huawei,3750,6,8,6,128,android,2,15999,1080.0,2340.0,16,24
xiaomi,4000,6,8,3,32,android,2,8290,1080.0,2280.0,12,5
xiaomi,3000,5,4,2,16,android,2,5699,720.0,1440.0,13,5
xiaomi,3080,6,8,3,32,android,2,7999,720.0,1440.0,12,16
tecno,3750,6,8,4,64,android,2,7420,720.0,1440.0,16,20
xiaomi,3000,5,8,3,32,android,2,7180,720.0,1440.0,12,5
samsung,3500,6,8,4,64,android,2,15499,720.0,1440.0,16,16
samsung,3000,6,8,3,32,android,2,9490,720.0,1480.0,13,8
samsung,3500,6,8,4,64,android,1,15999,1080.0,2220.0,16,24
motorola,5000,6,8,3,32,android,2,9399,720.0,1440.0,12,5
nubia,3800,6,8,8,128,android,2,24860,1080.0,2160.0,24,8
infocus,4000,6,8,4,64,android,2,7990,720.0,1440.0,13,13
itel,3000,6,4,3,16,android,2,8480,720.0,1440.0,13,13
huawei,3000,6,8,4,64,android,2,12800,1080.0,2280.0,16,24
vivo,3260,6,8,4,64,android,2,13740,1080.0,2280.0,16,24
motorola,4000,6,8,3,32,android,2,8049,720.0,1440.0,13,8
honor,3000,6,8,3,32,android,2,7799,720.0,1440.0,13,8
motorola,3000,6,8,3,32,android,2,10499,1080.0,2160.0,12,16
smartron,5000,5,8,3,32,android,2,10500,720.0,1280.0,13,5
oppo,3180,6,8,2,16,android,2,6799,720.0,1440.0,13,8
honor,3000,6,8,3,32,android,2,8929,1080.0,2160.0,13,13
10.or,3500,5,4,2,16,android,2,4999,720.0,1280.0,13,5
infocus,4000,6,4,2,16,android,2,6850,720.0,1440.0,13,8
samsung,3500,6,8,6,64,android,1,16900,1080.0,2220.0,16,16
gionee,3030,6,8,4,32,android,2,6319,720.0,1440.0,13,16
vivo,3000,6,8,4,32,android,2,13990,720.0,1440.0,16,24
xiaomi,3080,6,8,2,16,android,2,8490,720.0,1280.0,13,16
xiaomi,3000,5,4,2,16,android,2,7199,720.0,1280.0,13,5
honor,3340,6,8,4,32,android,2,12722,1080.0,2160.0,16,8
honor,3020,5,8,3,32,android,2,8499,720.0,1280.0,13,5
gionee,5000,6,8,4,64,android,2,8890,720.0,1440.0,13,8
vivo,3225,6,8,4,64,android,2,10990,720.0,1440.0,16,24
asus,3000,6,8,4,64,android,2,25999,1080.0,1920.0,16,12
lg,3000,6,8,3,32,android,2,8948,1080.0,2160.0,13,5
oppo,3200,6,8,4,64,android,2,11990,1080.0,1920.0,13,16
smartron,3000,6,8,4,32,android,2,5999,1080.0,1920.0,13,5
vivo,3000,6,8,4,64,android,2,12990,720.0,1280.0,13,20
micromax,4000,5,4,2,16,android,2,5499,720.0,1280.0,8,5
lava,3020,6,8,4,32,android,2,12000,720.0,1280.0,13,8
nubia,3630,6,8,4,64,android,2,12990,1080.0,1920.0,13,16
cat,3800,5,8,2,16,android,2,39999,720.0,1280.0,13,5
coolpad,2500,5,4,3,16,android,2,4290,720.0,1280.0,13,8
gionee,4010,6,8,4,64,android,2,9999,1080.0,1920.0,13,16
sony,2700,6,8,4,64,android,2,5994,1080.0,1920.0,23,16
sony,2900,5,4,4,32,android,2,29990,1080.0,1920.0,19,13
gionee,4550,6,8,4,64,android,2,994,1080.0,1920.0,13,20
motorola,2800,5,8,2,16,android,2,5450,1080.0,1920.0,13,5
honor,3000,5,8,4,64,android,2,14933,1080.0,1920.0,12,8
vivo,3055,6,8,4,64,android,2,12500,1080.0,1920.0,16,20
nokia,3000,6,8,2,16,android,2,7250,1080.0,1920.0,16,8
samsung,3600,6,8,3,32,android,2,25900,1080.0,1920.0,16,16
