Brand,Battery capacity,Screen size,Resolution,Processor,RAM,Internal storage,Camera,Operating system,Number of SIMs,Price
Xiaomi,3080 mAh,6 inch,1080 x 1920 px,8,4000 mb,32 GB,12 MP Rear +  5 MP Front Camera,Android,2,9999
LG,3300 mAh,6 inch,1440 x 2880 px,8,4000 mb,128 GB,16 MP Rear +  5 MP Front Camera,Android,2,27999
Lenovo,4000 mAh,6 inch,1080 x 1920 px,10,3000 mb,32 GB,13 MP Rear +  13 MP Front Camera,Android,2,7299
Motorola,3000 mAh,5 inch,1080 x 1920 px,8,3000 mb,32 GB,16 MP Rear +  5 MP Front Camera,Android,2,9999
Google,3520 mAh,6 inch,1440 x 2880 px,8,4000 mb,64 GB,12.2 MP Rear +  8 MP Front Camera,Android,1,12994
Google,2700 mAh,5 inch,1080 x 1920 px,8,4000 mb,64 GB,12.2 MP Rear +  8 MP Front Camera,Android,1,9994
Motorola,3000 mAh,5 inch,1080 x 1920 px,8,3000 mb,32 GB,12 MP Rear +  16 MP Front Camera,Android,2,12500
Motorola,3000 mAh,6 inch,1080 x 1920 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,8500
Xiaomi,3300 mAh,6 inch,720 x 1440 px,8,2000 mb,16 GB,12 MP Rear +  5 MP Front Camera,Android,2,6499
Xiaomi,4000 mAh,6 inch,1080 x 2160 px,8,3000 mb,32 GB,12 MP Rear +  5 MP Front Camera,Android,2,8699
Jio,2000 mAh,2 inch,240 x 320 px,2,512 mb,4 GB,2 MP Rear +  0.3 MP Front Camera,Cyanogen,1,1249
Samsung,3300 mAh,6 inch,1080 x 1920 px,8,4000 mb,32 GB,13 MP Rear +  13 MP Front Camera,Android,2,9890
Motorola,3000 mAh,6 inch,1080 x 1920 px,8,4000 mb,64 GB,12 MP Rear +  5 MP Front Camera,Android,2,10499
Yu,3000 mAh,5 inch,1080 x 1920 px,8,4000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,5990
Xiaomi,5300 mAh,6 inch,1080 x 1920 px,8,4000 mb,32 GB,12 MP Rear +  5 MP Front Camera,Android,2,8999
