Brand,Battery_capacity(mAh),Screen_size(inches),Touchscreen,Processor,RAM(GB),Internal_storage(GB),Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
Motorola,3000,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,10499,1080,1920,12,5
Yu,3000,5,Yes,8,4,32,Android,Yes,Yes,Yes,2,Yes,Yes,5990,1080,1920,13,8
Xiaomi,5300,6,Yes,8,4,32,Android,Yes,Yes,Yes,2,Yes,Yes,8999,1080,1920,12,5
Coolpad,4060,6,Yes,8,6,64,Android,Yes,Yes,No,2,No,Yes,8999,1080,1920,13,8
OnePlus,3300,6,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,17499,1080,1920,16,16
Honor,4000,6,Yes,8,6,128,Android,Yes,Yes,Yes,2,No,Yes,17586,1440,2560,12,8
Micromax,3200,6,Yes,8,4,128,Android,Yes,Yes,Yes,2,Yes,Yes,13999,1080,1920,13,13
Oppo,4000,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,13990,1080,1920,16,16
Sony,3230,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,33500,2160,3840,19,13
Motorola,3000,5,Yes,8,3,16,Android,Yes,Yes,Yes,2,Yes,Yes,10900,1080,1920,12,5
Asus,5000,5,Yes,8,3,32,Android,Yes,Yes,No,2,Yes,Yes,14999,720,1280,13,8
Samsung,3300,6,Yes,1,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,16999,1080,1920,16,16
HTC,2500,5,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,15500,1080,1920,16,16
HTC,3000,6,Yes,4,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,54665,1440,2560,12,16
Asus,3300,6,Yes,4,8,128,Android,Yes,Yes,Yes,2,Yes,Yes,49999,1440,2560,23,8
Xiaomi,3120,5,Yes,4,2,16,Android,Yes,Yes,Yes,2,Yes,Yes,6999,720,1280,13,5
Xiaomi,4100,5,Yes,8,2,16,Android,Yes,Yes,Yes,2,Yes,Yes,8999,720,1280,13,5
Nubia,3000,5,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,16999,1080,1920,23,13
Lenovo,3500,5,Yes,4,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,11499,1080,1920,13,8
LG,3200,6,Yes,4,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,26999,1440,2560,16,5
Lenovo,4000,5,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,8500,1080,1920,13,8
Sony,2900,5,Yes,4,3,64,Android,Yes,Yes,Yes,2,Yes,Yes,11999,1080,1920,23,13
Samsung,3300,6,Yes,8,3,16,Android,Yes,Yes,Yes,2,Yes,Yes,15995,1080,1920,13,8
Motorola,3510,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,8990,1080,1920,16,5
Xiaomi,4100,6,Yes,8,2,32,Android,Yes,Yes,Yes,2,Yes,Yes,9990,1080,1920,13,5
Xiaomi,4100,5,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,8000,720,1280,13,5
Motorola,2600,6,Yes,4,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,11999,1440,2560,13,5
Asus,3000,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,14999,1080,1920,16,8
Smartron,3000,6,Yes,8,4,32,Android,Yes,Yes,Yes,2,Yes,Yes,5490,1080,1920,13,4
Motorola,3000,6,Yes,8,2,16,Android,Yes,Yes,Yes,2,Yes,Yes,5999,1080,1920,16,5
Coolpad,2800,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,8499,1080,1920,13,5
Xiaomi,4850,6,Yes,6,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,11990,1080,1920,16,5
Lenovo,4100,6,Yes,4,3,64,Android,Yes,Yes,Yes,2,Yes,Yes,7499,1080,1920,13,8
LeEco,3000,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,6999,1080,1920,16,8
LeEco,3100,6,Yes,4,1,32,Android,Yes,Yes,Yes,2,Yes,Yes,7790,1440,2560,21,8
Huawei,3000,5,Yes,8,3,32,Android,Yes,Yes,Yes,1,Yes,Yes,39999,1080,1920,12,8
Apple,1624,4,Yes,1,2,16,iOS,Yes,Yes,Yes,1,Yes,Yes,16999,640,1136,12,1
LG,2800,5,Yes,4,4,32,Android,Yes,Yes,Yes,2,Yes,Yes,10999,1440,2560,16,8
Oppo,2500,5,Yes,8,3,16,Android,Yes,Yes,Yes,2,Yes,Yes,8999,720,1280,13,8
Samsung,2900,5,Yes,8,2,16,Android,Yes,Yes,Yes,2,Yes,Yes,19990,1080,1920,13,5
Xiaomi,4050,6,Yes,6,2,16,Android,Yes,Yes,Yes,2,Yes,Yes,6899,1080,1920,16,5
HTC,2150,5,Yes,8,3,32,Android,Yes,Yes,Yes,1,Yes,Yes,30149,1080,1920,13,4
BlackBerry,3410,5,Yes,6,3,32,Android,Yes,Yes,Yes,1,Yes,Yes,19999,1440,2560,18,2
LG,2700,5,Yes,6,2,16,Android,Yes,Yes,Yes,1,Yes,Yes,25990,1080,1920,12,5
Apple,1715,5,Yes,2,2,16,iOS,Yes,Yes,Yes,1,Yes,Yes,22999,750,1334,12,5
